U235,UO2,Gd2O3,Boron,Water,Pitch,Kmax,Kmin
0.011722843,10.85874415,0.020836725,0.000729378,0.704792749,1.7302724,0.42646,0.42612
0.022900544,10.05775101,0.063811492,0.000897452,0.524683911,2.436695846,0.42695,0.42655
0.009409063,10.0553695,0.038338198,0.000528483,0.687073326,1.589929081,0.42812,0.4278
0.016497755,10.31401468,0.053661446,0.000600512,0.59697866,2.277546958,0.42841,0.42803
0.009096329,10.53847394,0.076248597,0.00014447,0.058064835,1.462764164,0.4304,0.4301
0.014260293,10.77757984,0.032014906,0.000635668,0.938870778,1.762645561,0.43246,0.43208
0.011210838,10.14316639,0.03337601,0.000777907,0.848345538,1.456918255,0.43403,0.43367
0.00825231,10.28516671,0.022927568,0.000749323,0.175990932,2.077172395,0.43517,0.43481
0.008561053,10.87325779,0.06246812,0.000387929,0.308621478,2.217746849,0.43605,0.43573
0.013518209,10.20276781,0.089579285,0.000830046,0.323837959,2.241056294,0.43668,0.43634
0.016500203,10.23526935,0.094157907,0.000931521,0.002638144,1.291620429,0.43692,0.43666
0.007357871,10.45154503,0.087994902,0.000307914,0.130596248,1.777820298,0.43701,0.43667
0.008061546,10.68904137,0.083749598,0.000729057,0.313912255,1.253051336,0.43763,0.43727
0.014077385,10.04016429,0.027467555,0.000730754,0.453176958,2.133089583,0.43819,0.43781
0.011063814,10.56001005,0.001920235,0.000571644,0.74375873,1.825231869,0.439,0.43866
0.00926452,10.510095,0.019345629,0.000888458,0.667229236,1.363545937,0.43968,0.43936
0.028974095,10.59093397,0.005251123,0.000770276,0.880387239,2.335578726,0.44018,0.43974
0.028051486,10.23418926,0.050226057,0.000842106,0.83920096,2.198271871,0.44127,0.44085
0.00711399,10.60526164,0.026085039,7.96E-05,0.037704208,2.017595901,0.44141,0.44111
0.008339899,10.9529698,0.009048217,7.62E-05,0.993710132,2.119477107,0.44166,0.44128
0.030899304,10.75633087,0.085849018,0.000688649,0.921456454,2.380123259,0.44334,0.4429
0.021006689,10.59748734,0.021607152,0.000398906,0.928272397,2.406993727,0.44347,0.44301
0.010904326,10.23542361,0.052420121,0.000494685,0.331831716,2.299596183,0.4437,0.44336
0.023509859,10.61380271,0.050465203,0.000579093,0.896407901,2.270380982,0.44391,0.44345
0.023541336,10.21589166,0.049969194,0.000669877,0.662122526,2.42037032,0.44524,0.44486
0.007952656,10.28861685,0.039479679,0.000204903,0.860492631,1.643792107,0.44543,0.44509
0.009960441,10.66806381,0.084488179,0.000588809,0.494547697,1.725099339,0.44566,0.44532
0.029890319,10.04703688,0.097091582,0.00089514,0.871319908,2.12236849,0.44882,0.4484
0.008013754,10.27104999,0.020266159,0.000432785,0.345388417,1.822486989,0.44951,0.44919
0.008545378,10.42684905,0.052466048,0.000666561,0.105718964,1.462090223,0.45009,0.44971
0.010477924,10.85424221,0.081051015,0.000415146,0.336864238,2.375216726,0.45102,0.45068
0.033625146,10.28269404,0.073389465,0.00086132,0.912141341,2.227782348,0.45111,0.45069
0.007455884,10.07972011,0.044554678,0.000417462,0.330622507,1.437421834,0.45118,0.45082
0.01757128,10.27266945,0.036951371,0.000731619,0.650304732,2.039569305,0.45169,0.45127
0.010248472,10.18205857,0.058967639,0.000824545,0.246217985,1.924055965,0.4517,0.45128
0.041461226,10.24255878,0.011672471,0.000969967,0.830852555,2.447401909,0.45225,0.45177
0.007302466,10.668692,0.09279353,0.000153823,0.564485772,1.799964181,0.45272,0.45236
0.031770858,10.10387924,0.092898449,0.000699102,0.927563409,2.295129621,0.45338,0.45296
0.009472961,10.36885254,0.081579375,3.58E-05,0.077489332,1.509401787,0.45686,0.45648
0.009907212,10.2584006,0.089071626,0.000369702,0.502074672,1.894756247,0.45719,0.45677
0.007427565,10.22197319,0.030332905,0.000392928,0.255947839,1.675919597,0.45825,0.45789
0.007720194,10.95790953,0.044705692,0.000568781,0.305611613,1.256738956,0.45849,0.45811
0.019968535,10.65745235,0.095079868,0.000707972,0.538348672,2.359171681,0.46036,0.45996
0.028940835,10.47041752,0.07686592,0.000863095,0.673179826,2.363236781,0.46215,0.46175
0.018674919,10.28417242,0.00389486,0.000990239,0.533168327,2.099396254,0.46389,0.46351
0.018880273,10.80072355,0.018064937,0.000919666,0.71144558,1.896431289,0.46652,0.46614
0.009956609,10.04211126,0.090303768,0.000595375,0.546018582,1.459697969,0.46721,0.46683
0.013659496,10.7115089,0.071416301,0.000980869,0.61368435,1.590781598,0.46744,0.46706
0.016287713,10.59076369,0.05377833,0.000803634,0.563721,1.961685563,0.46813,0.46773
0.010143952,10.12077308,0.094868021,0.000773055,0.39915048,1.439759711,0.46893,0.46857
0.009169921,10.90088292,0.095834533,0.000498086,0.057556336,2.251956403,0.46962,0.46928
0.011934808,10.75324772,0.016121398,0.000598409,0.019965135,1.490511358,0.47095,0.47063
0.016271058,10.02748287,0.074708145,0.000929113,0.506061872,1.85872102,0.47166,0.47128
0.009994755,10.49375057,0.059450402,0.000197529,0.703787961,2.002959233,0.47263,0.47229
0.011056645,10.96389691,0.084156069,0.000742869,0.393414311,1.752452768,0.47267,0.47229
0.041001087,10.26915779,0.094868046,0.00098382,0.942528982,2.190508115,0.47333,0.47285
0.014191268,10.94383108,0.082498854,0.000833876,0.285398568,2.323057917,0.47426,0.4739
0.018175194,10.22939585,0.071051663,0.000791037,0.391773898,2.355327041,0.47441,0.47401
0.018112073,10.58796327,0.012016799,0.000899292,0.376808383,2.391036621,0.4769,0.47648
0.010390854,10.41314259,0.007760279,0.000472899,0.802338789,1.588064714,0.4772,0.4768
0.031232415,10.55463299,0.038167242,0.000802041,0.783625014,2.305307714,0.47904,0.47856
0.027916387,10.22619564,0.011152984,0.000566872,0.935031703,2.278965216,0.4807,0.48022
0.048815963,10.28486503,0.079079614,0.000963049,0.922288108,2.354170957,0.48112,0.48058
0.013029481,10.56358489,0.03295061,0.000514625,0.603562123,1.91062795,0.48119,0.48081
0.011102877,10.17881233,0.016139369,0.000667857,0.763163916,1.448180166,0.48164,0.48128
0.009850844,10.86083197,0.095397586,0.000634867,0.110438054,2.417805364,0.48175,0.48137
0.009489036,10.8066748,0.088505681,9.56E-05,0.600010735,2.346896616,0.48448,0.4841
0.018376729,10.09333489,0.062933414,0.000526365,0.800565249,1.988559536,0.4854,0.48496
0.042578228,10.95129692,0.018718249,0.00077444,0.974597522,2.409926456,0.48592,0.4854
0.011665465,10.04481959,0.015151632,0.000480074,0.027400794,1.478650051,0.48618,0.48582
0.02067248,10.60691692,0.009305381,0.00074373,0.691814913,2.089977573,0.48683,0.48643
0.008269034,10.94556538,0.021409139,0.000319981,0.755091753,1.469080012,0.48729,0.48693
